Genre,Description,original_index,unique_index
"Horror,Mystery,Thriller","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",0,0
"Action,Drama,Horror",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,1,1
"Romance,Thriller,War","On the eve of WWII, a young American reporter tries to expose enemy agents in London.",2,2
"Documentary,Biography","Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ...",3,3
"Documentary,Comedy",An examination of the widespread fan disenchantment with George Lucas.,4,4
Thriller,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.",5,5
"Comedy,Thriller",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.,6,6
"Comedy,Horror,Thriller","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die.",7,7
"Drama,Horror","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story.",8,8
"Comedy,Romance","Ari (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc...",9,9
"Comedy,Drama","When childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ...",10,10
Documentary,War stories and life lessons from the industry's top writers.,11,11
"Comedy,Drama",An estranged family of former child prodigies reunites when their father announces he is terminally ill.,12,12
"Action,Thriller",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,13,13
"Drama,Mystery,Thriller","A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",14,14
"Drama,Romance,Thriller",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,15,15
"Action,Adventure,Fantasy",Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.,16,16
"Action,Adventure,Fantasy",An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.,17,17
"Action,Fantasy","Selene, a beautiful vampire warrior, entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a human who is sought by werewolves for unknown reasons.",18,18
"Action,Fantasy,Sci-Fi","Picking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",19,19
"Animation,Comedy,Family","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",20,20
"Animation,Adventure,Comedy",A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,21,21
"Animation,Adventure,Comedy","When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.",22,22
"Drama,Thriller","Inspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword.",23,23
"Crime,Drama",Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,24,24
"Action,Adventure,Thriller","Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",25,25
"Action,Horror","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",26,26
Documentary,"With limited sound, simple graphics, and tiny amounts of computing power, the first games on home computers would hardly raise an eyebrow in the modern era of photorealism and surround ...",27,27
Documentary,"Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ...",28,28
"Action,Crime,Drama","Jack Reacher returns to the headquarters of his old unit, only to find out he's now accused of a 16-year-old homicide.",29,29
"Action,Drama,History",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,30,30
"Action,Drama,Romance","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",31,31
"Drama,Fantasy,Romance",After dying in a car crash a man searches the afterlife for his wife.,32,32
"Comedy,Musical,Romance","A matchmaker named Dolly Levi takes a trip to Yonkers, New York to see the 'well-known unmarried half-a-millionaire,' Horace Vandergelder. While there, she convinces him, his two stock ...",33,33
"Biography,Comedy,Drama",Plain faced Fanny Brice rises to stardom on the New York Vaudeville Stage and maintains a turbulent marriage with suave gambler Nick Arnstein.,34,34
"Drama,Film-Noir,Romance","Set in Casablanca, Morocco during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.",35,35
"Mystery,Sci-Fi","Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.",36,36
Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions become stronger.,37,37
